score,game
337457.6666666667,3
357069.6666666667,6
409024.6666666667,9
414826.0,12
367201.0,15
377276.0,18
419554.0,21
354335.3333333333,24
426368.3333333333,27
358320.3333333333,30
404512.3333333333,33
394649.3333333333,36
362729.0,39
345341.3333333333,42
353670.3333333333,45
385177.6666666667,48
359487.0,51
436927.6666666667,54
353437.3333333333,57
332787.0,60
340874.0,63
358596.0,66
339371.0,69
327719.0,72
323891.6666666667,75
340793.3333333333,78
411965.6666666667,81
350486.3333333333,84
364161.3333333333,87
339620.3333333333,90
397433.0,93
351779.0,96
368659.0,99
343919.3333333333,102
353371.6666666667,105
346149.6666666667,108
364960.3333333333,111
333580.6666666667,114
337128.6666666667,117
351378.6666666667,120
345089.3333333333,123
287066.0,126
327609.6666666667,129
309964.0,132
362155.6666666667,135
346579.6666666667,138
329053.0,141
364130.3333333333,144
372286.3333333333,147
299947.0,150
375330.3333333333,153
341765.3333333333,156
347614.0,159
323674.3333333333,162
341701.6666666667,165
335436.0,168
384221.3333333333,171
344586.6666666667,174
338843.0,177
364001.0,180
361222.6666666667,183
342100.6666666667,186
339657.6666666667,189
376299.0,192
367832.3333333333,195
325748.0,198
326714.6666666667,201
348576.3333333333,204
314189.0,207
317482.6666666667,210
304884.3333333333,213
319915.0,216
302277.6666666667,219
315670.0,222
320520.3333333333,225
295456.0,228
270570.6666666667,231
293524.3333333333,234
285206.0,237
313892.3333333333,240
284266.3333333333,243
295966.6666666667,246
287718.0,249
279183.6666666667,252
249862.33333333334,255
286980.0,258
291700.3333333333,261
248583.0,264
281715.0,267
253186.66666666666,270
294786.6666666667,273
314193.0,276
265213.3333333333,279
313405.3333333333,282
268598.3333333333,285
277891.0,288
324120.0,291
274991.3333333333,294
272886.0,297
266419.0,300
305309.3333333333,303
325865.6666666667,306
296240.0,309
329103.6666666667,312
304207.3333333333,315
313155.0,318
281913.3333333333,321
324047.6666666667,324
300097.3333333333,327
299521.6666666667,330
326683.6666666667,333
320203.0,336
291679.0,339
307309.6666666667,342
322022.6666666667,345
321509.0,348
347314.6666666667,351
299527.3333333333,354
312201.3333333333,357
323488.0,360
310442.0,363
292403.6666666667,366
300967.0,369
279714.3333333333,372
270253.6666666667,375
286655.6666666667,378
285726.0,381
296100.0,384
334159.0,387
287943.3333333333,390
289267.0,393
287149.3333333333,396
290398.0,399
333555.0,402
277831.0,405
275469.3333333333,408
308838.0,411
297560.3333333333,414
296671.0,417
277934.6666666667,420
307325.6666666667,423
287389.6666666667,426
316025.6666666667,429
318715.6666666667,432
253639.66666666666,435
291315.0,438
259618.66666666666,441
265084.6666666667,444
277710.0,447
270617.3333333333,450
265825.0,453
295307.3333333333,456
282040.0,459
275008.0,462
299530.6666666667,465
295172.6666666667,468
278274.6666666667,471
255905.66666666666,474
319667.3333333333,477
265370.0,480
307431.6666666667,483
261910.66666666666,486
294531.0,489
295189.0,492
304737.0,495
293570.0,498
306199.6666666667,501
298242.6666666667,504
272979.0,507
323740.3333333333,510
311506.0,513
298094.0,516
279692.3333333333,519
295479.6666666667,522
279034.3333333333,525
304902.3333333333,528
324309.6666666667,531
310807.6666666667,534
275951.6666666667,537
307306.6666666667,540
272206.3333333333,543
275482.3333333333,546
275352.0,549
287985.0,552
306366.3333333333,555
287770.3333333333,558
360718.3333333333,561
304708.3333333333,564
339897.3333333333,567
323461.3333333333,570
317847.3333333333,573
293038.0,576
321341.0,579
297032.3333333333,582
289423.6666666667,585
289928.6666666667,588
303745.3333333333,591
302581.3333333333,594
306591.3333333333,597
285536.6666666667,600
299396.3333333333,603
293900.3333333333,606
288573.3333333333,609
272118.3333333333,612
289869.6666666667,615
303214.0,618
287172.3333333333,621
313744.6666666667,624
286313.0,627
285382.6666666667,630
272876.6666666667,633
271367.0,636
252305.33333333334,639
252818.33333333334,642
