score,game
410132.6666666667,3
438234.6666666667,6
459880.0,9
408631.6666666667,12
428107.3333333333,15
462973.3333333333,18
442633.0,21
443647.0,24
449829.6666666667,27
383668.3333333333,30
433804.3333333333,33
417428.3333333333,36
399731.3333333333,39
407241.0,42
391986.3333333333,45
425392.0,48
447165.6666666667,51
431997.0,54
407530.3333333333,57
415257.6666666667,60
435573.0,63
437594.3333333333,66
420851.6666666667,69
408448.3333333333,72
426635.6666666667,75
438052.0,78
445071.0,81
373712.3333333333,84
462457.3333333333,87
396250.3333333333,90
447131.0,93
460711.6666666667,96
421141.3333333333,99
395268.0,102
429703.0,105
455233.0,108
416860.6666666667,111
442676.6666666667,114
471279.6666666667,117
417856.0,120
433195.6666666667,123
422766.6666666667,126
428910.0,129
383930.3333333333,132
456884.0,135
402223.6666666667,138
410621.0,141
401308.0,144
450279.3333333333,147
430159.0,150
375405.0,153
464184.3333333333,156
428659.3333333333,159
473599.3333333333,162
472000.6666666667,165
468219.3333333333,168
442053.0,171
455731.0,174
477638.6666666667,177
447840.6666666667,180
451746.6666666667,183
410182.3333333333,186
406976.3333333333,189
425905.3333333333,192
446869.0,195
416854.0,198
435070.3333333333,201
368408.6666666667,204
416818.0,207
485396.3333333333,210
408019.0,213
440739.3333333333,216
480753.3333333333,219
424882.0,222
449557.3333333333,225
412945.3333333333,228
435702.3333333333,231
419223.0,234
426789.3333333333,237
450023.3333333333,240
407961.3333333333,243
465604.0,246
359611.6666666667,249
431722.0,252
394810.6666666667,255
513736.6666666667,258
417863.6666666667,261
506716.3333333333,264
443434.3333333333,267
422890.3333333333,270
467663.6666666667,273
445533.3333333333,276
387088.3333333333,279
429597.0,282
466858.3333333333,285
454351.0,288
425129.0,291
388518.0,294
399033.6666666667,297
420360.3333333333,300
435422.0,303
401452.6666666667,306
456744.3333333333,309
449662.6666666667,312
434780.0,315
421603.3333333333,318
412390.3333333333,321
442765.6666666667,324
434719.3333333333,327
442980.3333333333,330
398312.0,333
424372.0,336
476915.3333333333,339
384391.3333333333,342
445557.0,345
423524.0,348
436369.6666666667,351
446202.6666666667,354
440014.3333333333,357
424942.6666666667,360
424260.0,363
